name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Dil Jo Na Keh Saka - Lata Mangeshkar,0.359,0.41,10,-10.432,1,0.0392,0.981,0.0197,0.199,0.232,126.405,spotify:track:4I658kZhGQMCrRAeU5Cy4F
Dil To Hai Dil,0.391,0.63,5,-7.7,1,0.0341,0.698,1e-06,0.0875,0.67,110.578,spotify:track:5lIUOSw4sORid01JwghhQ5
Do Nainon Mein Ansoo Bhare Hai,0.349,0.356,8,-10.973,1,0.0351,0.967,0.0486,0.166,0.436,130.996,spotify:track:5HuR4tKwaGehsrsNp1dKci
Ek Pyar Ka Naghma Hai,0.268,0.371,2,-10.807,1,0.0318,0.235,0.00067,0.0674,0.255,88.688,spotify:track:6RELGnjAoxtO1IRYUcEcta
Ek Radha Ek Meera,0.461,0.193,2,-15.513,0,0.065,0.973,0.651,0.308,0.492,80.326,spotify:track:3pSjlcV3MkMgzuYWFgiw3g
Gumnaam Hai Koi Badnaam Hai Koi,0.395,0.331,0,-8.086,0,0.0305,0.95,0.00029,0.403,0.547,94.804,spotify:track:1KCZN33CNIcnBhtfYZfmt8
Hum The Jinke Sahare,0.388,0.327,3,-12.038,1,0.0348,0.966,0.0319,0.137,0.331,94.167,spotify:track:1UY1nY8UXeBq0mqFbzOKwU
Jane Kyon Log Mohabbat Kiya,0.388,0.456,1,-11.346,0,0.0484,0.931,7.8e-05,0.11,0.396,138.076,spotify:track:052JXN8f26wYYu23k953PM
Jis Path Pe Chala,0.369,0.669,8,-7.315,1,0.0658,0.871,2.45e-05,0.298,0.349,95.68,spotify:track:5T5TzwNAyP8ZK7jWe0eYnj
Kahin Deep Jale Kahin Dil,0.305,0.327,6,-11.444,0,0.0338,0.965,0.568,0.338,0.281,102.776,spotify:track:3jtcSXIONWFoyRXGOlmnR2
Kanchi Re Kanchi Re,0.642,0.37,5,-14.17,1,0.0469,0.866,3.01e-05,0.0876,0.699,101.65,spotify:track:0dPz77kgQAIl1f4x1IeyTm
"Kuchh Kehta Hai Ye Savan - From ""Mera Gaon Mera Desh""",0.558,0.824,1,-3.102,0,0.0363,0.657,0,0.0846,0.781,138.656,spotify:track:0afLBcNf0G0h2978Uhu8Px
Kuchh Dil Ne Kaha Kuchh Bhi Nahin,0.361,0.327,11,-10.154,0,0.0328,0.929,0.000227,0.12,0.199,94.53,spotify:track:5oTvRhWWa7wMkV0Qgw37AF
Lo Aa Gayi Unki Yaad,0.267,0.382,6,-8.48,0,0.0301,0.991,0.0277,0.115,0.226,93.739,spotify:track:33KoqvOPGAz7VtD6EjGRuE
Rim Jhim Ke Geet,0.453,0.298,9,-11.319,0,0.0422,0.983,0.741,0.241,0.414,149.578,spotify:track:0j2XAbFKNWzWn9wxgkmICU
Main Na Bhoolunga-1 - Sad,0.319,0.304,6,-13.844,1,0.0364,0.901,0.000817,0.19,0.604,133.276,spotify:track:0waQS0ZmahCfnk1Y64B4oW
Main Na Bhoolunga-2 - Happy,0.383,0.453,6,-11.081,1,0.0361,0.907,0.0638,0.268,0.73,71.499,spotify:track:0ap9nBaBdP5sW2WO9uqTmG
Man Kyoon Behka Re Behka Aadhi Raat Ko,0.58,0.469,10,-7.557,1,0.0577,0.936,0.00729,0.143,0.316,79.696,spotify:track:3ClX9Fv2i4mzRUhWUxkpod
Mera Naam Hai Chameli,0.308,0.627,5,-10.873,0,0.0612,0.76,0.0254,0.335,0.918,175.302,spotify:track:4bt7Uid34gBTRvBgnQfS9E
Meri Kismat Mein Tu Nahin Shayad,0.366,0.67,7,-6.656,1,0.037,0.699,1.78e-05,0.276,0.483,116.856,spotify:track:2PDFRr9NDh7zoOxaIhPZZP
Milti Hai Zindagi Men,0.541,0.607,2,-5.734,1,0.0451,0.933,9.05e-06,0.104,0.565,129.073,spotify:track:3xlv70t4g3TnjSKhV6aHUQ
Mujhe Tum Yaad Karna,0.557,0.572,6,-11.195,1,0.0458,0.726,0,0.0915,0.92,136.497,spotify:track:2yQ2oce2laoH6yMtvK0tPy
Na Jane Kyon Hota Hai,0.502,0.408,8,-11.136,1,0.034,0.949,7.87e-06,0.094,0.753,82.754,spotify:track:7qR7gt9ZaDZQVMTmghDDyq
Naam Goom Jayega,0.324,0.283,2,-13.555,1,0.0344,0.953,0.000567,0.25,0.512,90.493,spotify:track:4jBTjqNfB65zLtHrFmYm3S
Neela Aasman So Gaya - Lata Mangeshkar,0.265,0.249,5,-12.076,1,0.0288,0.86,0.0696,0.0748,0.228,93.079,spotify:track:54AQMneLxShWC0pQs2Hqdf
Pardes Jake Pardesia,0.481,0.557,3,-7.456,1,0.138,0.818,0.00299,0.0842,0.637,80.225,spotify:track:6jhjAR2vpF9rJvMtSJTuNr
Pardesiyon Se Na Ankhiyan Milana,0.369,0.523,2,-6.895,0,0.0912,0.975,0.716,0.13,0.419,163.505,spotify:track:2NgpRujzsppANUP69G00Ug
Phool Tumhe Bheja Hai Khat Mein,0.5,0.528,6,-12.592,1,0.0944,0.756,9.79e-06,0.174,0.624,92.692,spotify:track:2RSVIWtscwYFaSiNmQ4rmk
Piya Bina Piya Bina,0.444,0.399,8,-7.673,1,0.0292,0.968,0.00624,0.195,0.521,105.642,spotify:track:4lG0AJ2dpIWA2YKzkPsndY
Piya Tose Naina Laage Re,0.438,0.449,4,-10.066,1,0.0439,0.907,0.127,0.179,0.608,129.037,spotify:track:6yoT89zUSra0wzS1DKFC1w
Ruke Ruke Se Qadam,0.327,0.55,9,-6.387,0,0.0323,0.771,0.0183,0.357,0.511,136.733,spotify:track:2Ze2lYJyANmk5zm1QsmiLs
Sawan Ka Mahina,0.355,0.278,2,-13.566,1,0.0455,0.96,0.138,0.239,0.722,70.791,spotify:track:4v4wIJBIsNZedLRyFhpuBZ
Solah Baras Ki Bali Umar,0.304,0.651,7,-10.418,1,0.0505,0.743,0.000367,0.474,0.683,80.771,spotify:track:7sOjOFCqQSF8CBOJa6hM8j
Suno Sajna Papihe Ne Kaha,0.288,0.55,4,-9.477,1,0.0716,0.805,0.00216,0.263,0.515,85.869,spotify:track:1OGKq2mU8PrrI4ajkBx32t
Tera Jana,0.278,0.452,5,-14.277,0,0.044,0.851,0.00765,0.182,0.587,158.638,spotify:track:4NhDwKN1y5uH7zdb8JHdCS
Tere Bin Soone Nain Humare,0.228,0.362,4,-13.177,0,0.0338,0.964,0.0307,0.391,0.223,83.196,spotify:track:3fKkpcs1tZHbNRs2cYaXpZ
Tere Bina Zindagi Se,0.372,0.419,3,-9.876,1,0.0295,0.93,1.01e-06,0.121,0.456,92.381,spotify:track:57l24qsMzRsvecxRM0tfC6
Tere Mere Milan Ki Yeh Raina,0.3,0.52,7,-5.682,0,0.0325,0.822,4.82e-06,0.0452,0.541,85.233,spotify:track:49KcsdsM3Kap2sV4dtbHQf
Tere Sur Aur Mere Geet,0.543,0.341,7,-12.022,0,0.0402,0.894,0.00119,0.145,0.717,132.008,spotify:track:3joaKfXwFde9jOTRSnEDOn
Tere Bina Jiya Jaye Naa,0.459,0.376,0,-9.241,1,0.0336,0.725,0.00831,0.194,0.593,150.131,spotify:track:5NZrew66KAcDSwNjrPdVx9
Teri Aankhon Ke Siva Duniya Men,0.33,0.419,8,-12.006,1,0.0355,0.985,0.00265,0.37,0.647,147.063,spotify:track:3zXhNQJXdOakZ8lqA4uQtl
Tujh Sang Preet,0.35,0.461,7,-12.316,1,0.041,0.551,0,0.647,0.523,89.863,spotify:track:0JXmavedvYmIJV85tBkgBk
Tujhse Naraz Nahin Zindagi - Lata Mangeshkar,0.611,0.292,9,-12.809,1,0.0283,0.308,0.00256,0.185,0.65,96.937,spotify:track:4M6QtwT7kFCMqztO4E96kk
"Maine Poochha Chand Se - From ""Abdullah""",0.455,0.418,1,-8.018,1,0.0319,0.648,0,0.0809,0.284,130.787,spotify:track:0i6U12LOWlHNngec0HCroE
"Pardah Hai Pardah - From ""Amar Akbar Anthony""",0.37,0.834,7,-5.471,1,0.183,0.678,0,0.524,0.554,85.799,spotify:track:1pEHbMOTopNRYWX6XvnhOK
"Kuchh Kehta Hai Ye Savan - From ""Mera Gaon Mera Desh""",0.558,0.824,1,-3.102,0,0.0363,0.657,0,0.0846,0.781,138.656,spotify:track:0afLBcNf0G0h2978Uhu8Px
Abhi Na Jao Chhod Kar,0.521,0.421,3,-9.856,1,0.0355,0.607,0.187,0.329,0.551,96.444,spotify:track:0C47mkZ7VGcnKBvEG7PiAP
Chup Gaye Sare Nazare,0.395,0.547,3,-9.1,0,0.0931,0.956,0.0395,0.119,0.588,80.219,spotify:track:6DuEwqeZzkPJlczCKPq1VD
Likhe Jo Khat Tujhe,0.375,0.449,11,-13.439,0,0.0337,0.89,0.139,0.326,0.744,106.603,spotify:track:0es02Rp0p0WpC4WRBDtM8P
Chura Liya Hai Tumne Jo Dil Ko,0.56,0.318,9,-11.106,0,0.0317,0.857,1.88e-06,0.11,0.684,80.238,spotify:track:2yRBJpAD66GuNRKQ8bKXtY
Ye Dil Tum Bin Lagta Nahin,0.403,0.316,7,-12.482,1,0.0338,0.814,0,0.0789,0.578,141.778,spotify:track:1vi4SYpDhUVf4R247VpzMv
Kya Hua Tera Vada,0.507,0.583,5,-5.7,1,0.0283,0.211,3.79e-06,0.111,0.777,99.287,spotify:track:5XTdgOtJYAOXiw2gHW2KmQ
Teri Galiyon Mein,0.275,0.469,4,-12.689,1,0.0413,0.797,0.00115,0.182,0.434,146.753,spotify:track:5OeQkWNa8d5x5BCwBPwCEb
Chahoonga Main Tujhe,0.327,0.331,8,-12.489,1,0.0489,0.994,0.66,0.245,0.256,79.222,spotify:track:0UUEg4ozehOADGnhQ4OOam
Yeh Duniya Yeh Mehfil,0.391,0.591,5,-6.036,1,0.0417,0.673,1.41e-06,0.0777,0.436,135.894,spotify:track:7nQpLrNWv00oDZD72wGK68
Tum Mujhe Yun Bhula Na Paoge,0.573,0.464,8,-10.146,1,0.0332,0.731,0.000133,0.128,0.699,105.723,spotify:track:0mtS8143MsPJfSM9fvFUhO
Aaja Tujhko Pukare Mera Pyar,0.343,0.346,9,-12.508,1,0.0353,0.488,1.84e-06,0.13,0.374,129.309,spotify:track:5YvWKnVfeqo3D2j823UDpP
Ye Jo Chilman Hai,0.396,0.669,11,-7.876,0,0.0644,0.88,0.0755,0.0948,0.538,82.696,spotify:track:1IhKvdVIHvb0yzEND6kBhl
Caravan Guzar Gaya,0.316,0.258,6,-16.397,1,0.0416,0.99,0.438,0.399,0.623,70.679,spotify:track:2VDkC8sNuu61i4e2xmR3Zw
Ae Phoolon Ki Rani,0.371,0.359,4,-14.451,1,0.0704,0.873,0.00415,0.362,0.657,149.339,spotify:track:6u3ZEin2KdyVsb7uD3R0u7
Ek Tha Gul Aur Ek Thi Bulbul,0.586,0.328,7,-12.883,0,0.0384,0.957,0.00676,0.104,0.465,112.12,spotify:track:2Qokth9u14S9AifXUT2vFt
Dekho Rootha Na Karo,0.404,0.388,4,-10.082,1,0.0375,0.989,0.403,0.124,0.702,93.791,spotify:track:3TvXVGblUNFZquVw9p4Kxj
O Haseena Zulfonwale Jane Jahan,0.387,0.649,0,-5.197,1,0.0571,0.681,5.57e-06,0.3,0.779,92.682,spotify:track:6kXGGT1zngi3GsxgCbxclU
Aaja Tujhko Pukare Mera Pyar,0.343,0.346,9,-12.508,1,0.0353,0.488,1.84e-06,0.13,0.374,129.309,spotify:track:5YvWKnVfeqo3D2j823UDpP
Mere Mitwa Mere Meet Re,0.448,0.416,7,-12.886,1,0.0371,0.914,0,0.132,0.599,154.949,spotify:track:0LOes4DuGP4wZPlUhLCW7v
Chandan Sa Badan Chanchal Chitwan - Mukesh,0.592,0.349,10,-12.918,1,0.0333,0.906,1.81e-05,0.0767,0.58,93.867,spotify:track:5DylAjiFdp6zs36HV4N8rU
Maine Tere Liye,0.596,0.66,3,-6.083,1,0.0309,0.85,0.000424,0.371,0.894,126.197,spotify:track:5VP6rxxsMlotzqe8dK5Vt7
Sab Kuchh Seekha Ham Ne,0.575,0.543,9,-11.163,0,0.0387,0.473,1.24e-05,0.448,0.753,98.297,spotify:track:46oHmGxAfR7fM9CCmRue9f
Sajan Re Jhoot Mat Bolo,0.371,0.43,0,-13.702,0,0.0391,0.766,4.25e-06,0.283,0.946,154.67,spotify:track:1YbyDO9YfIpz24xgF5DXMI
Phool Tumhe Bheja Hai Khat Mein,0.5,0.528,6,-12.592,1,0.0944,0.756,9.79e-06,0.174,0.624,92.692,spotify:track:2RSVIWtscwYFaSiNmQ4rmk
Main Pal Do Pal Ka Shair Hoon,0.565,0.334,4,-13.626,1,0.0309,0.85,0,0.632,0.64,124.193,spotify:track:2MAQWNhW0jKI0qWnNNO8C9
Kabhi Kabhi Mere Dil Mein Duet,0.502,0.315,4,-10.438,1,0.0318,0.979,5.7e-05,0.626,0.397,110.618,spotify:track:46bHffIYlRKDZJG1Wbv8vi
Kisi Ki Muskurahaton Se,0.394,0.303,0,-13.401,0,0.049,0.748,2.02e-05,0.0656,0.837,207.348,spotify:track:3tzNahvEgF6D5BgARz8rzS
Suhana Safar Aur Yeh Mausam,0.491,0.308,7,-13.842,0,0.15,0.639,0.0121,0.139,0.614,150.612,spotify:track:0VkIBnXTf4UGNkiVesjGBK
Kya Khoob Lagti Ho,0.429,0.644,6,-9.102,1,0.0383,0.723,7.17e-05,0.383,0.658,132.216,spotify:track:3h5YZTfJ4BBpvLVHS6lGUl
Chand Si Mehbooba Ho Meri,0.496,0.334,5,-13.576,1,0.0473,0.723,0,0.306,0.686,88.139,spotify:track:3ihRHbHv7rxX9YFd4FFFBb
Kahin Door Jab Din Dhal Jaye,0.521,0.424,5,-7.392,1,0.0347,0.852,1.08e-06,0.301,0.484,91.351,spotify:track:2P7i3LoqblIGiNk1Jmbc30
Ek Din Bik Jayega Mati Ke Mol - Happy,0.401,0.537,1,-11.76,1,0.04,0.781,1.12e-06,0.253,0.603,93.432,spotify:track:2kVkpyTGbPkDkFNsb0OMMO
Yeh Mera Diwanapan Hai,0.583,0.397,0,-6.816,1,0.0324,0.927,5.68e-06,0.152,0.535,99.244,spotify:track:6O9tpC8F1dzV1JhkiGQ5iU
Jo Tumko Hopasand Wohi Baat Karenge,0.435,0.541,11,-10.087,0,0.0373,0.908,0.000724,0.434,0.555,114.307,spotify:track:1YXe3Y3EF0Vjx8PuheWjxi
Woh Chand Khila Woh Tare Hanse,0.652,0.567,4,-8.122,1,0.0568,0.853,1.02e-05,0.212,0.896,125.675,spotify:track:3ql8mvRXXEUJYLaqtPQkwU
Jane Kahan Gaye Woh Din,0.335,0.325,5,-8.615,0,0.0353,0.621,0.00142,0.136,0.269,140.953,spotify:track:0i5nhVTeTZEKAeINa7Bwkf
Aa Ja Re Ab Mera Dil Pukare,0.583,0.37,0,-5.795,0,0.0272,0.901,2.97e-06,0.103,0.505,100.986,spotify:track:69LYmV0nkTbLEdIGHlFRXe
