Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Admonish,to indicate duties or obligations to,to give friendly earnest advice or encouragement to,to say (something) as advice or a warning,to criticize or warn gently but seriously,to give friendly advice or encouragement,"chide, rebuke, reprimand, reproach, reprove, tick off","chide, rebuke, reprimand, reproach, reprove, tick off","reprove, rebuke, reprimand, admonish, reproach, chide mean to criticize adversely

reprove implies an often kindly intent to correct a fault
gently reproved my table manners

rebuke suggests a sharp or stern reproof
the papal letter rebuked dissenting clerics

reprimand implies a severe, formal, often public or official rebuke
reprimanded by the ethics committee

admonish suggests earnest or friendly warning and counsel
admonished by my parents to control expenses

reproach and chide suggest displeasure or disappointment expressed in mild reproof or scolding
reproached him for tardiness

chided by their mother for untidiness",second
Adultery,voluntary sexual intercourse between a married person and someone other than that person's current spouse or partner,sex between a married person and someone who is not that person's wife or husband,voluntary sexual activity (as sexual intercourse) between a married man and someone other than his wife or between a married woman and someone other than her husband,Oops! So Empty!,Oops! So Empty!,"cheating, infidelity, misconduct, two-timing, unfaithfulness","faithfulness, fidelity",Oops! So Empty!,third
Affable,being pleasant and at ease in talking to others,characterized by ease and friendliness,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"breezy, devil-may-care, easygoing, happy-go-lucky, laid-back, low-pressure, mellow","high-strung, uptight","gracious, cordial, affable, genial, sociable mean markedly pleasant and easy in social intercourse

gracious implies courtesy and kindly consideration
the gracious award winner thanked her colleagues

cordial stresses warmth and heartiness
our host was cordial as he greeted us

affable implies easy approachability and readiness to respond pleasantly to conversation or requests or proposals
though wealthy, she was affable to all

genial stresses cheerfulness and even joviality
a genial companion with a ready quip

sociable suggests a genuine liking for the companionship of others
sociable people who enjoy entertaining",first
Aggravate,"to make worse, more serious, or more severe",to rouse to displeasure or anger by usually persistent and often petty goading,to make worse or more serious,to make angry usually by bothering again and again,"to make worse, more serious, or more severe","annoy, bother, bug, burn (up), chafe, eat, exasperate, frost, gall, get, grate, gripe, hack (off), irk, irritate, itch, nark 
[British], nettle, peeve, persecute, pique, put out, rasp, rile, ruffle, spite, vex","annoy, bother, bug, burn (up), chafe, eat, exasperate, frost, gall, get, grate, gripe, hack (off), irk, irritate, itch, nark 
[British], nettle, peeve, persecute, pique, put out, rasp, rile, ruffle, spite, vex",Oops! So Empty!,second
Agitation,the act or an instance of agitating something,a state or feeling of being agitated and restless,"a persistent and sustained attempt to arouse public feeling or influence public opinion (as by appeals, discussions, or demonstrations)",Oops! So Empty!,Oops! So Empty!,"deliriousness, delirium, distraction, fever, feverishness, flap, frenzy, furor, furore, fury, hysteria, rage, rampage, uproar","deliriousness, delirium, distraction, fever, feverishness, flap, frenzy, furor, furore, fury, hysteria, rage, rampage, uproar",Oops! So Empty!,third
Agonising,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Agreeable,pleasing to the mind or senses especially as according well with one's tastes or needs,ready or willing to agree or consent,being in harmony,able to be accepted,pleasing to the mind or senses,"all right, alright, copacetic 
 (also copasetic or copesetic), ducky, fine, good, hunky-dory, jake 
[slang], OK 
 (or okay), palatable, satisfactory","disagreeable, unsatisfactory",Oops! So Empty!,first
Agreeably,pleasing to the mind or senses especially as according well with one's tastes or needs,ready or willing to agree or consent,being in harmony,able to be accepted,pleasing to the mind or senses,"all right, alright, copacetic 
 (also copasetic or copesetic), ducky, fine, good, hunky-dory, jake 
[slang], OK 
 (or okay), palatable, satisfactory","disagreeable, unsatisfactory",Oops! So Empty!,third
Ailing,having or suffering from an illness or injury,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"invalid, sickly, weakly","healthy, well",Oops! So Empty!,third
Ailment,a bodily disorder or chronic disease,"unrest, uneasiness",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"affection, ail, bug, complaint, complication, condition, disease, disorder, distemper, distemperature, fever, ill, illness, infirmity, malady, sickness, trouble","health, wellness",Oops! So Empty!,third
Aisle,a passage (as in a theater or railroad passenger car) separating sections of seats,the side of a church nave separated by piers from the nave proper,a passage between sections of seats (as in a church or theater),a passage between shelves (as in a supermarket),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Alcove,a small recessed section of a room,summerhouse sense 2,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"belvedere, casino, gazebo, kiosk, pavilion, summerhouse","belvedere, casino, gazebo, kiosk, pavilion, summerhouse",Oops! So Empty!,third
Alluding,to make indirect reference,to talk about or hint at without mentioning directly,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"hint, imply, indicate, infer, insinuate, intimate, suggest","hint, imply, indicate, infer, insinuate, intimate, suggest",Oops! So Empty!,third
Aloof,removed or distant either physically or emotionally,at a distance,not involved with or friendly toward other people,not involved in or influenced by something,at a distance,"antisocial, asocial, buttoned-up, cold, cold-eyed, cool, detached, distant, dry, frosty, offish, remote, standoff, standoffish, unbending, unclubbable, unsociable","cordial, friendly, sociable, social, warm","indifferent, unconcerned, incurious, aloof, detached, disinterested mean not showing or feeling interest

indifferent implies neutrality of attitude from lack of inclination, preference, or prejudice
indifferent to the dictates of fashion

unconcerned suggests a lack of sensitivity or regard for others' needs or troubles
unconcerned about the homeless

incurious implies an inability to take a normal interest due to dullness of mind or to self-centeredness
incurious about the world

aloof suggests a cool reserve arising from a sense of superiority or disdain for inferiors or from shyness
aloof from his coworkers

detached implies an objective attitude achieved through absence of prejudice or selfishness
observed family gatherings with detached amusement

disinterested implies a circumstantial freedom from concern for personal or especially financial advantage that enables one to judge or advise without bias
judged by a panel of disinterested observers",first
Amiable,"friendly, sociable, and congenial","pleasing, admirable",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"affable, agreeable, genial, good-natured, good-tempered, gracious, mellow, nice, pleasant, sweet, well-disposed","disagreeable, ill-natured, ill-tempered, unamiable, ungenial, ungracious, unpleasant","amiable, good-natured, obliging, complaisant mean having the desire or disposition to please

amiable implies having qualities that make one liked and easy to deal with
an amiable teacher not easily annoyed

good-natured implies cheerfulness or helpfulness and sometimes a willingness to be imposed upon
a good-natured girl who was always willing to pitch in

obliging stresses a friendly readiness to be helpful
our obliging innkeeper found us a bigger room

complaisant often implies passivity or a yielding to others because of weakness
was too complaisant to protest a decision he thought unfair",first
Amorous,strongly moved by love and especially sexual love,being in love,indicative of love,Oops! So Empty!,Oops! So Empty!,"amatory, aphrodisiac 
 (also aphrodisiacal), erogenous, erotic 
 (also erotical), erotogenic, sexy, steamy","nonerotic, unerotic, unsexy",Oops! So Empty!,first
Ample,"generous or more than adequate in size, scope, or capacity",generously sufficient to satisfy a requirement or need,"buxom, portly",Oops! So Empty!,Oops! So Empty!,"abundant, aplenty, bounteous, bountiful, comfortable, cornucopian, galore, generous, liberal, plenteous, plentiful, plenty","bare, minimal, scant, spare","spacious, commodious, capacious, ample mean larger in extent or capacity than the average

spacious implies great length and breadth
a spacious front lawn

commodious stresses roominess and comfortableness
a commodious and airy penthouse apartment

capacious stresses the ability to hold, contain, or retain more than the average
a capacious suitcase

ample implies having a greater size, expanse, or amount than that deemed adequate
ample closet space",first
Animosity,a strong feeling of dislike or hatred,"dislike entry 1, hatred",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"animus, antagonism, antipathy, bad blood, bitterness, enmity, gall, grudge, hostility, jaundice, rancor",amity,"enmity, hostility, antipathy, antagonism, animosity, rancor, animus mean deep-seated dislike or ill will

enmity suggests positive hatred which may be open or concealed
an unspoken enmity

hostility suggests an enmity showing itself in attacks or aggression
hostility between the two nations

antipathy and antagonism imply a natural or logical basis for one's hatred or dislike, antipathy suggesting repugnance, a desire to avoid or reject, and antagonism suggesting a clash of temperaments leading readily to hostility
a natural antipathy for self-seekers

antagonism between the brothers
animosity suggests intense ill will and vindictiveness that threaten to kindle hostility

animosity that led to revenge
rancor is especially applied to bitter brooding over a wrong

rancor filled every line of his letters
animus adds to animosity the implication of strong prejudice

objections devoid of personal animus",second
Anon,after a while,"soon, presently",at once,Oops! So Empty!,Oops! So Empty!,"before long, by and by, directly, momentarily, presently, shortly, soon","before long, by and by, directly, momentarily, presently, shortly, soon",Oops! So Empty!,third
Antipathy,a strong feeling of dislike,settled aversion or dislike,an object of aversion,opposition in feeling,something disliked,"animosity, animus, antagonism, bad blood, bitterness, enmity, gall, grudge, hostility, jaundice, rancor",amity,"enmity, hostility, antipathy, antagonism, animosity, rancor, animus mean deep-seated dislike or ill will

enmity suggests positive hatred which may be open or concealed
an unspoken enmity

hostility suggests an enmity showing itself in attacks or aggression
hostility between the two nations

antipathy and antagonism imply a natural or logical basis for one's hatred or dislike, antipathy suggesting repugnance, a desire to avoid or reject, and antagonism suggesting a clash of temperaments leading readily to hostility
a natural antipathy for self-seekers

antagonism between the brothers
animosity suggests intense ill will and vindictiveness that threaten to kindle hostility

animosity that led to revenge
rancor is especially applied to bitter brooding over a wrong

rancor filled every line of his letters
animus adds to animosity the implication of strong prejudice

objections devoid of personal animus",third
Antsy,"restless, fidgety","nervous, apprehensive",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aflutter, anxious, atwitter, dithery, edgy, goosey, het up, hinky 
[slang], hung up, ill at ease, insecure, jittery, jumpy, nervous, nervy, perturbed, queasy 
 (also queazy), tense, troubled, uneasy, unquiet, upset, uptight, worried","calm, collected, cool, easy, happy-go-lucky, nerveless, relaxed",Oops! So Empty!,third
Apostate,one who commits apostasy,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"defector, deserter, recreant, renegade",loyalist,Oops! So Empty!,third
Apothecary,a person who prepares and sells drugs or compounds for medicinal purposes,one who prepares and sells drugs or compounds for medicinal purposes,pharmacy sense 2a,pharmacy,Oops! So Empty!,"chemist 
[British], druggist, pharmacist","chemist 
[British], druggist, pharmacist",Oops! So Empty!,first
Aptly,in an apt manner,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Ardor,an often restless or transitory warmth of feeling,warmth of feeling,sexual excitement,great eagerness,Oops! So Empty!,"ardency, emotion, enthusiasm, fervency, fervidness, fervor, fire, heat, intenseness, intensity, passion, passionateness, vehemence, violence, warmth, white heat","impassiveness, impassivity, insensibility, insensibleness, insensitiveness, insensitivity","passion, fervor, ardor, enthusiasm, zeal mean intense emotion compelling action

passion applies to an emotion that is deeply stirring or ungovernable
gave in to his passions

fervor implies a warm and steady emotion
read the poem aloud with great fervor

ardor suggests warm and excited feeling likely to be fitful or short-lived
the ardor of their honeymoon soon faded

enthusiasm applies to lively or eager interest in or admiration for a proposal, cause, or activity
never showed much enthusiasm for sports

zeal implies energetic and unflagging pursuit of an aim or devotion to a cause
preaches with fanatical zeal",first
Armistice,temporary stopping of open acts of warfare by agreement between the opponents,an agreement to stop fighting a war,a pause in fighting brought about by agreement between the two sides,Oops! So Empty!,Oops! So Empty!,"cease-fire, truce","cease-fire, truce",Oops! So Empty!,second
Arthritis,"inflammation of joints due to infectious, metabolic, or constitutional causes",a condition in which the joints are painful and swollen,"inflammation of joints due to infectious, metabolic, or constitutional causes",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Articulate,"expressing oneself readily, clearly, and effectively",consisting of segments united by joints,to give clear and effective utterance to,to unite by or as if by means of a joint,to utter clear and understandable sounds,"eloquent, fluent, silver-tongued, well-spoken","inarticulate, ineloquent, unvocal",Oops! So Empty!,third
Artifice,clever or artful skill,an artful stratagem,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"device, dodge, fetch, flimflam, gambit, gimmick, jig, juggle, knack, play, ploy, ruse, scheme, shenanigan, sleight, stratagem, trick, wile","device, dodge, fetch, flimflam, gambit, gimmick, jig, juggle, knack, play, ploy, ruse, scheme, shenanigan, sleight, stratagem, trick, wile","trick, ruse, stratagem, maneuver, artifice, wile, feint mean an indirect means to gain an end

trick may imply deception, roguishness, illusion, and either an evil or harmless end
the tricks of the trade

ruse stresses an attempt to mislead by a false impression
the ruses of smugglers

stratagem implies a ruse used to entrap, outwit, circumvent, or surprise an opponent or enemy
the stratagem-filled game

maneuver suggests adroit and skillful avoidance of difficulty
last-minute maneuvers to avert bankruptcy

artifice implies ingenious contrivance or invention
the clever artifices of the stage

wile suggests an attempt to entrap or deceive with false allurements
used all of his wiles to ingratiate himself

feint implies a diversion or distraction of attention away from one's real intent
a feint toward the enemy's left flank",second
Asinine,extremely or utterly foolish or silly,"of, relating to, or resembling an ass",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"absurd, balmy, brainless, bubbleheaded, cockeyed, crackpot, crazy, cuckoo, daffy, daft, dippy, dotty, fatuous, featherheaded, fool, foolish, half-baked, half-witted, harebrained, inept, insane, jerky, kooky 
 (also kookie), loony 
 (also looney), lunatic, lunkheaded, mad, nonsensical, nutty, preposterous, sappy, screwball, senseless, silly, simpleminded, stupid, tomfool, unwise, wacky 
 (also whacky), weak-minded, witless, zany","judicious, prudent, sagacious, sage, sane, sapient, sensible, sound, wise","simple, foolish, silly, fatuous, asinine mean actually or apparently deficient in intelligence

simple implies a degree of intelligence inadequate to cope with anything complex or involving mental effort
considered people simple who had trouble with computers

foolish implies the character of being or seeming unable to use judgment, discretion, or good sense
foolish stunts

silly suggests failure to act as a rational being especially by ridiculous behavior
the silly antics of revelers

fatuous implies foolishness, inanity, and disregard of reality
fatuous conspiracy theories

asinine suggests utter and contemptible failure to use normal rationality or perception
an asinine plot",second
Aspect,a particular status or phase in which something appears or may be regarded,the position of planets or stars with respect to one another held by astrologers to influence human affairs,an act of looking,the appearance of something,a certain way in which something appears or may be thought of,"angle, facet, hand, phase, side","angle, facet, hand, phase, side",Oops! So Empty!,first
Asphalt,a dark bituminous substance that is found in natural beds and is also obtained as a residue in petroleum refining and that consists chiefly of hydrocarbons,an asphaltic composition used for pavements and as a waterproof cement,a dark-colored substance obtained from natural deposits in the earth or from petroleum,any of various materials made of asphalt that are used for pavements and as a waterproof cement,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Astutely,having or showing shrewdness and an ability to notice and understand things clearly,very alert and aware,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"canny, clear-eyed, clear-sighted, hard-boiled, hardheaded, heady, knowing, savvy, sharp, sharp-witted, shrewd, smart",unknowing,"shrewd, sagacious, perspicacious, astute mean acute in perception and sound in judgment

shrewd stresses practical, hardheaded cleverness and judgment
a shrewd judge of character

sagacious suggests wisdom, penetration, and farsightedness
sagacious investors got in on the ground floor

perspicacious implies unusual power to see through and understand what is puzzling or hidden
a perspicacious counselor saw through the child's facade

astute suggests shrewdness, perspicacity, and diplomatic skill
an astute player of party politics",first
Atrocious,"extremely wicked, brutal, or cruel","extremely brutal, cruel, or wicked","appalling, horrifying",utterly revolting,very bad,"appalling, awful, dreadful, frightful, ghastly, grisly, gruesome 
 (also grewsome), hideous, horrendous, horrible, horrid, horrific, horrifying, lurid, macabre, monstrous, nightmare, nightmarish, shocking, terrible, terrific","appalling, awful, dreadful, frightful, ghastly, grisly, gruesome 
 (also grewsome), hideous, horrendous, horrible, horrid, horrific, horrifying, lurid, macabre, monstrous, nightmare, nightmarish, shocking, terrible, terrific",Oops! So Empty!,third
Atrocity,"a shockingly bad or atrocious act, object, or situation",the quality or state of being atrocious,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"atrociousness, awfulness, dreadfulness, frightfulness, ghastliness, grisliness, gruesomeness, hideousness, horridness, horror, monstrosity, repulsiveness","atrociousness, awfulness, dreadfulness, frightfulness, ghastliness, grisliness, gruesomeness, hideousness, horridness, horror, monstrosity, repulsiveness",Oops! So Empty!,first
Attire,the antlers or antlers and scalp of a stag or buck,"dress, clothes",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apparel, array, bedeck, caparison, clothe, costume, deck (out), do up, dress, dress up, enrobe, garb, garment, get up, gown, habit, invest, rig (out), robe, suit, tog (up or out), toilet, vesture","disarray, disrobe, strip, unclothe, undress, untruss 
[archaic]",Oops! So Empty!,third
Attired,the antlers or antlers and scalp of a stag or buck,"dress, clothes",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apparel, array, bedeck, caparison, clothe, costume, deck (out), do up, dress, dress up, enrobe, garb, garment, get up, gown, habit, invest, rig (out), robe, suit, tog (up or out), toilet, vesture","disarray, disrobe, strip, unclothe, undress, untruss 
[archaic]",Oops! So Empty!,first
Attrition,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"corrosion, erosion, undermining, waste",buildup,Oops! So Empty!,fourth
Auditory,marked by great susceptibility to impressions and reactions produced by acoustic stimuli,"attained, experienced, or produced through or as if through hearing",of or relating to hearing,audience,auditorium,"acoustic 
 (or acoustical), audial, audile, aural, auricular",nonauditory,Oops! So Empty!,first
Auspicious,showing or suggesting that future success is likely,attended by good auspices,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bright, encouraging, fair, golden, heartening, hopeful, likely, optimistic, promising, propitious, rose-colored, roseate, rosy, upbeat","bleak, dark, depressing, desperate, discouraging, disheartening, dismal, downbeat, dreary, gloomy, hopeless, inauspicious, pessimistic, unencouraging, unlikely, unpromising, unpropitious","favorable, auspicious, propitious mean pointing toward a happy outcome

favorable implies that the persons involved are approving or helpful or that the circumstances are advantageous
favorable weather conditions

auspicious applies to something taken as a sign or omen promising success before or at the start of an event
an auspicious beginning

propitious may also apply to beginnings but often implies a continuing favorable condition
a propitious time for starting a business",third
Austere,having the flavor of acid or tannin predominant over fruit flavors usually indicating a capacity for aging,stern and cold in appearance or manner,giving little or no scope for pleasure,markedly simple or unadorned,morally strict,"authoritarian, flinty, hard, harsh, heavy-handed, ramrod, rigid, rigorous, severe, stern, strict, tough","clement, forbearing, gentle, indulgent, lax, lenient, tolerant","severe, stern, austere, ascetic mean given to or marked by strict discipline and firm restraint

severe implies standards enforced without indulgence or laxity and may suggest harshness
severe military discipline

stern stresses inflexibility and inexorability of temper or character
stern arbiters of public morality

austere stresses absence of warmth, color, or feeling and may apply to rigorous restraint, simplicity, or self-denial
living an austere life in the country

ascetic implies abstention from pleasure and comfort or self-indulgence as spiritual discipline
the ascetic life of the monks",third
Avenge,to take vengeance for or on behalf of,to exact satisfaction for (a wrong) by punishing the wrongdoer,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"redress, requite, retaliate, revenge, venge 
[archaic]","redress, requite, retaliate, revenge, venge 
[archaic]",Oops! So Empty!,first
Aversion,a feeling of repugnance toward something with a desire to avoid or turn from it,an object of dislike or aversion,the act of turning away,a strong dislike,something strongly disliked,"disgust, distaste, horror, loathing, nausea, repugnance, repulsion, revulsion","disgust, distaste, horror, loathing, nausea, repugnance, repulsion, revulsion",Oops! So Empty!,third
Avert,"to turn away or aside (the eyes, one's gaze, etc.) in avoidance",to see coming and ward off,to turn away,to keep from happening,Oops! So Empty!,"forestall, head off, help, obviate, preclude, prevent, stave off","forestall, head off, help, obviate, preclude, prevent, stave off",Oops! So Empty!,third
Awkward,lacking dexterity or skill (as in the use of hands),lacking ease or grace (as of movement or expression),not easy to handle or deal with,lacking social grace and assurance,perverse,"clumsy, gauche, graceless, inelegant, rough-hewn, rustic 
 (also rustical), stiff, stilted, uncomfortable, uneasy, ungraceful, wooden","graceful, suave, urbane","awkward, clumsy, maladroit, inept, gauche mean not marked by ease (as of performance, movement, or social conduct)

awkward is widely applicable and may suggest unhandiness, inconvenience, lack of muscular control, embarrassment, or lack of tact
periods of awkward silence

clumsy implies stiffness and heaviness and so may connote inflexibility, unwieldiness, or lack of ordinary skill
a clumsy mechanic

maladroit suggests a tendency to create awkward situations
a maladroit politician

inept often implies complete failure or inadequacy
a hopelessly inept defense attorney

gauche implies the effects of shyness, inexperience, or ill breeding
felt gauche and unsophisticated at formal parties",first
Awry,off the correct or expected course,in a turned or twisted position or direction,turned or twisted to one side,out of the right course,Oops! So Empty!,"askew, aslant, atilt, cock-a-hoop, cockeyed, crazy, crooked, listing, lopsided, oblique, off-kilter, pitched, skewed, slanted, slanting, slantwise, tilted, tipping, uneven","even, level, straight",Oops! So Empty!,first
Balked,to refuse abruptly,to stop short and refuse to proceed,to commit a balk (see balk entry 2 sense 1),to check or stop by or as if by an obstacle,to pass over or by,"baffle, beat, checkmate, discomfit, foil, frustrate, thwart","advance, cultivate, encourage, forward, foster, further, nurture, promote","frustrate, thwart, foil, baffle, balk mean to check or defeat another's plan or block achievement of a goal

frustrate implies making vain or ineffectual all efforts however vigorous or persistent
frustrated attempts at government reform

thwart suggests frustration or checking by crossing or opposing
the army thwarted his attempt at a coup

foil implies checking or defeating so as to discourage further effort
foiled by her parents, he stopped trying to see her

baffle implies frustration by confusing or puzzling
baffled by the maze of rules and regulations

balk suggests the interposing of obstacles or hindrances
officials felt that legal restrictions had balked their efforts to control crime",first
Ballad,a narrative composition in rhythmic verse suitable for singing,a simple song,a popular song,a short poem suitable for singing that tells a story in simple language,a simple song,"ditty, jingle, lay, lyric, song, vocal","ditty, jingle, lay, lyric, song, vocal",Oops! So Empty!,third
Ballads,a narrative composition in rhythmic verse suitable for singing,a simple song,a popular song,a short poem suitable for singing that tells a story in simple language,a simple song,"ditty, jingle, lay, lyric, song, vocal","ditty, jingle, lay, lyric, song, vocal",Oops! So Empty!,third
Beatific,"of, possessing, or imparting beatitude",having a blissful appearance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Becalmed,to keep motionless by lack of wind,to make calm,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"calm, compose, lull, lullaby, quiet, quieten 
[chiefly British], salve, settle, soothe, still, tranquilize 
 (also tranquillize)","agitate, discompose, disquiet, disturb, key (up), perturb, upset, vex",Oops! So Empty!,second
Beget,to procreate as the father,to produce especially as an effect or outgrowth,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"breed, bring, bring about, bring on, catalyze, cause, create, do, draw on, effect, effectuate, engender, generate, induce, invoke, make, occasion, produce, prompt, result (in), spawn, translate (into), work, yield","breed, bring, bring about, bring on, catalyze, cause, create, do, draw on, effect, effectuate, engender, generate, induce, invoke, make, occasion, produce, prompt, result (in), spawn, translate (into), work, yield",Oops! So Empty!,third
Belabor,to attack verbally,to explain or insist on excessively,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dwell (on or upon), harp (on)","disregard, forget, ignore, overlook, overpass, pass over, slight, slur (over)",Oops! So Empty!,first
Beleaguered,suffering or being subjected to constant or repeated trouble or harassment,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
