Word,Priorty
Dismal,third
Dispensed,third
Disposition,first
Divest,third
Divulge,third
Doleful,second
Dolt,first
Dour,third
Dowager,third
Drab,first
Drapery,third
Drawling,second
Dreary,third
Dribble,second
Droll,first
Dubious,first
Duress,third
Dwelt,third
Earnest,first
Echelons,second
Eerie,third
Egomaniacal,third
Elicit,third
Elicits,third
Eloquent,first
Emaciated,second
Embargo,third
Embellished,third
Embers,first
Emboldened,second
Emulate,first
Endearing,first
Endeavouring,first
Endurance,third
Enthused,third
Enthusiastic,third
Entourage,third
Enunciated,third
Envisaged,second
Epitome,third
Ere,fourth
Espouse,third
Espresso,third
Euphoria,first
Euphoric,second
Eventide,second
Evocation,second
Evocative,first
Ewer,third
Excerpts,second
Exodus,first
Exorbitant,first
Expedient,second
Exsanguinated,third
Extremities,third
Exulting,third
Fables,first
Faculties,third
Fagging,second
Fairy,first
Fanatical,third
Fascinated,third
Fawn,third
Felon,third
Ferny,fourth
Ferocious,first
Fervent,first
Fervently,third
Fetch,first
Fickle,first
Fidgeting,first
Fiend,third
Filly,third
Flabby,second
Fondling,third
Forage,third
Forlorn,third
Formidable,first
Fornication,third
Frantic,third
Frightful,first
Frigidly,second
Frills,second
Frivolity,third
Frivolous,third
Frolics,third
Frugal,second
Fumble,first
Furtive,third
Gallows,third
Garters,second
Gaunt,second
Gazing,third
Genially,third
Ghastly,first
Glare,first
Gleam,second
Glib,third
Glided,first
Gloom,third
Gloss,second
Goading,first
Goblins,third
Gorged,fourth
Grafted,first
Grapple,third
Grasp,first
Grief,first
Grievance,third
Grimacing,first
Groggy,third
Grotesque,third
Gullible,first
Haloed,second
Harassed,third
Harbinger,first
Harbingers,first
Harlot,third
Headstone,second
Headstrong,third
Hearth,first
Herald,first
Hiatus,second
Hindsight,first
Hitherto,first
Horology,first
Hothouse,second
Howling,first
Humble,first
Hurl,third
Hymn,third
Hymns,third
Ignominy,second
Ilk,first
Imbecile,first
Imbeciles,first
Immaculate,third
Imp,third
Impasse,first
Impeccable,first
Implacable,third
Imps,third
Impudence,third
Impulse,third
Incense,third
Inchoate,second
Incite,third
Incredulous,third
Indemnity,second
Indignation,third
Indulged,third
Infant,first
Infatuation,third
Infer,third
Infernal,second
Inflictions,third
Influx,third
Insinuating,third
Insolence,first
Insolent,third
Insomnia,first
Instigated,third
Instinctual,first
Insurrection,second
Intimated,third
Involuntarily,first
Inward,first
Ire,second
Isles,first
Janitor,first
Japes,first
Juxtaposition,first
Kernel,first
Lace,first
Lacerated,second
Lamentable,first
Lascivious,third
Leal,second
Lechery,third
Leering,third
Lepers,second
Lewd,third
Lewdness,third
Liability,first
Liable,first
Ligature,fourth
Lineaments,fourth
Lingeringly,first
Lithe,first
Lively,third
Livid,first
Ludicrous,first
Luminary,second
Magnate,first
Malevolent,first
Mallet,third
Manhandle,third
Mantling,fourth
Manure,second
Maple,fourth
Marine,first
Marvellous,first
Mastiffs,fourth
Matrimony,first
Meagre,first
Meek,first
Melancholy,third
Melody,third
Menaces,third
Menagerie,first
Midget,second
Miniature,first
Mishap,first
Monopolized,third
Moors,fourth
Morbid,third
Morbidity,second
Moreen,fourth
Morsel,first
Muffled,first
Mused,first
Mussed,first
Mutiny,first
Narrative,third
Naughty,first
Nibble,first
Nipped,second
Nocturnal,first
Noxious,second
Nuptials,third
Oasis,first
Obdurate,third
Obnoxious,third
Obtuse,third
Opprobrium,second
Ornate,second
Ostensibly,third
Ostracism,second
Ottoman,second
Overtures,second
Pails,third
Pallor,fourth
Palpable,first
Panes,third
Pangs,third
Paragon,first
Paramour,first
Pariah,first
Parlance,first
Parley,first
Passionate,third
Pastry,second
Penalties,first
Penchant,first
Penitent,first
Pensive,third
Perched,second
Perfidy,third
Perjured,fourth
Perused,second
Pester,first
Petty,first
Phantoms,third
Piebald,third
Pigtails,second
Pining,third
Pledge,first
Pliable,first
Pliant,first
Plumage,second
Poaching,third
Pontificating,third
Possibility,first
Posture,third
Pours,first
Precocious,third
Predilections,third
Preternatural,second
Primp,third
Pristine,first
Privateer,first
Privilege,third
Privileges,first
Prodigious,first
Profane,third
Profoundly,first
Prolific,third
Prominent,first
Promontories,third
Propensities,third
Prostheses,third
Protestations,second
Prurient,fourth
Puddle,third
Pungent,third
Quailed,second
Quaint,first
Quells,second
Querulous,second
Quivered,third
Racked,second
Rampant,first
Raps,second
Raucous,third
Realms,first
Rear,first
Rebuke,first
Recanted,first
Reclined,third
Recreation,first
Reek,third
Refrain,third
Refute,first
Reimburse,third
Relief,first
Rendered,third
Rending,second
Repent,first
Repertoire,second
Reprieve,second
Reprimand,third
Reprisals,third
Reproach,first
Reproved,second
Repugnant,third
Resentful,first
Resilient,first
Resolve,first
Respite,first
Revelry,third
Reverberation,third
Reviled,second
Revolted,first
Revulsion,first
Rheumatism,second
Rigours,first
Riposte,first
Riveted,fourth
Robust,third
Romping,second
Rudimentary,third
Rudiments,first
Rummage,first
Rusticate,first
Sacrilege,third
Sanguine,third
Saucily,third
Savage,third
Scant,third
Scapegoat,first
Scarcely,first
Scourged,third
Scraps,third
Scrutinised,third
Sedition,first
Selfish,first
Seneschal,third
Sentiment,first
Septic,third
Severity,third
Shemozzle,second
Shingle,third
Shins,second
Shreds,third
Shrewd,first
Shrined,third
Shrouded,second
Shrubbery,first
Simpering,third
Singular,third
Slanders,first
Slime,third
Slosh,second
Slurs,second
Sly,first
Smarm,first
Smirk,first
Smother,first
Smudged,second
Smug,first
Sneaking,third
Snug,third
Sober,first
Sojourn,first
Solemn,third
Solitary,first
Sombre,second
Spacious,first
Specking,second
Spectated,second
Spirit,third
Spite,third
Splendid,first
Sporadic,first
Sporadically,third
Spurned,first
Spurt,second
Sputtered,third
Stateliest,second
Stem,third
Sterile,first
Stifle,third
Stimulus,second
Stir,third
Stout,first
Streak,third
Strewn,second
Stripped,first
Subjoined,third
Sublime,first
Subsiding,first
Subterfuge,first
Suffocated,first
Sullen,first
Sumptuous,third
Supple,first
Surge,third
Swaggers,third
Swift,first
Synagogues,fourth
Tabernacle,second
Tantrum,first
Tantrums,third
Tarot,third
Tart,second
Temperament,third
Tenderly,first
Tenuous,first
Thaumaturge,third
Thrall,third
Thwarted,second
Tidying,third
Tirade,third
Tiresome,third
Titter,third
Tottered,third
Tousled,first
Touted,second
Transient,third
Transitory,third
Trepidation,first
Trickle,first
Trifle,first
Trite,first
Trudged,second
Trundle,fourth
Tumult,second
Turbid,second
Tutelage,first
Tutorage,third
Twilight,third
Tyrannies,first
Umbrage,third
Uncanny,first
Uncongenial,second
Unruly,first
Unutterable,third
Unwonted,second
Uprooting,third
Vacant,first
Vague,first
Vain,third
Vassalage,fourth
Vehement,third
Vein,third
Veritable,third
Vessel,third
Vignettes,second
Vigour,third
Vines,first
Virulent,second
Visage,third
Volition,third
Voyage,third
Waif,third
Wantonly,third
Wickedness,first
Wont,second
Wrapped,first
Wreath,second
Wreck,first
Wroth,second
Wrought,fourth
