Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 4,Carnage of Krell,S04E10,18 Nov. 2011,9.4,"2,527",Rex and the 501st troopers refuse to execute Fives and Jesse for their insubordination. They are in for even bigger shock when General Krell orders another offensive.
Season 4,Kidnapped,S04E11,25 Nov. 2011,7.8,"1,592","The Separatists support Zygerrian slavers in taking over a Togruta colony on the neutral planet Kiros. Anakin and Ahsoka race to defuse a series of bombs, while Obi-Wan faces the Zygerrian leader, Darts D'Nar."
Season 4,Slaves of the Republic,S04E12,2 Dec. 2011,8.0,"1,613","On the planet Zygerria, Anakin poses as a slaver with Ahsoka as his prize while Obi-Wan and Rex seek out the whereabouts of the missing Togruta colony."
Season 4,Escape from Kadavo,S04E13,6 Jan. 2012,8.2,"1,643","While Obi-Wan and Rex are forced to work at the Kadavo slave camps, Count Dooku arrives at Zygerria and demands the execution of the captured Jedi."
Season 4,A Friend in Need,S04E14,13 Jan. 2012,8.1,"1,647","Lux Bonteri disrupts a peace conference between Seperatist and Republic representatives on Mandalore. Intent on safeguarding him, Ahsoka becomes involved in Lux's plan to take revenge on Count Dooku for his mother's death."
Season 4,Deception,S04E15,20 Jan. 2012,8.5,"1,717","Obi-Wan fakes his own death and goes undercover as his own 'killer', Rako Hardeen, so he can infiltrate Moralo Eval's plot to kidnap Chancellor Palpatine."
Season 4,Friends and Enemies,S04E16,27 Jan. 2012,8.4,"1,687","Disguised as Bounty Hunter Rako Hardeen, Obi-Wan Kenobi is on the run with criminal mastermind Moralo Eval and Cad Bane. But their partnership is on thin ice and Anakin and Ahsoka are in hot pursuit."
Season 4,The Box,S04E17,3 Feb. 2012,8.8,"1,835",Count Dooku challenges eleven bounty hunters to survive several deadly levels devised by Moralo Eval. The winners will participate in the plot to kidnap Chancellor Palpatine on Naboo.
Season 4,Crisis on Naboo,S04E18,10 Feb. 2012,8.3,"1,656","Cad Bane leads Dooku's team of bounty hunters, including a disguised Obi-Wan, in a plot to kidnap the Supreme Chancellor during the Festival of Lights on Naboo."
Season 4,Massacre,S04E19,24 Feb. 2012,8.0,"1,713",Asajj Ventress returns to Dathomir to become a true Nightsister. But then Count Dooku orders General Grievous to wipe out Mother Talzin and her entire clan of witches.
Season 4,Bounty,S04E20,2 Mar. 2012,8.4,"1,730",Asajj Ventress joins a group of bounty hunters led by Boba Fett. Their mission is to deliver a box with unknown cargo to the leader of the planet Quarzite.
Season 4,Brothers,S04E21,9 Mar. 2012,8.4,"1,817","The search for his long lost brother, Darth Maul, leads Savage Opress to the junk planet of Lotho Minor."
Season 4,Revenge,S04E22,14 Mar. 2012,9.1,"2,118",Mother Talzin restores Darth Maul's sanity and gives him a better pair of mechanical legs. Now Maul wants revenge on Obi-Wan Kenobi and lures the Jedi to the remote planet of Raydonia.
Season 5,Revival,S05E01,28 Sep. 2012,8.9,"2,039",Maul takes Savage as his apprentice and together they set out to gather an army. Their attempt to recruit Hondo Ohnaka and his pirates is interrupted by Jedi Council members Obi-Wan Kenobi and Adi Gallia.
Season 5,A War on Two Fronts,S05E02,5 Oct. 2012,7.5,"1,581","By a request from Lux Bonteri, Anakin, Obi-Wan, Ahsoka and Rex travel to Onderon to help train a group of rebels so they can take back the capital city of Iziz from the Separatists."
Season 5,Front Runners,S05E03,12 Oct. 2012,7.5,"1,544",The Jedi and Rex return to Coruscant and leave Ahsoka in charge of supervising the Onderon Rebels as they carry out a series of strikes in the capital.
Season 5,The Soft War,S05E04,19 Oct. 2012,7.6,"1,525",The Onderon Rebels attempt to rescue former King Dendup before he is executed.
Season 5,Tipping Points,S05E05,27 Oct. 2012,8.1,"1,592","The people of Onderon have decided to revolt against the Separatists, leading to a full scale revolt between the rebels and battle droids."
Season 5,The Gathering,S05E06,2 Nov. 2012,8.0,"1,669",Ahsoka escorts a group of younglings to Ilum where they meet with Yoda and seek out the Kyber crystals needed to build their own lightsabers.
Season 5,A Test of Strength,S05E07,9 Nov. 2012,7.8,"1,570","As the six younglings prepare to construct their lightsabers, their training vessel Crucible is attacked by Hondo Ohnaka and his pirates."
Season 5,Bound for Rescue,S05E08,16 Nov. 2012,7.5,"1,521","Hondo has failed to capture the Kaiburr crystals, but does hold Ahsoka as a prisoner. The younglings form a plan to infiltrate the pirate hideout on Florrum."
Season 5,A Necessary Bond,S05E09,23 Nov. 2012,8.1,"1,590","General Grievous leads an attack on Hondo Ohnaka's base, forcing the pirates to form a temporary alliance with Ahsoka and the Jedi younglings."
Season 5,Secret Weapons,S05E10,30 Nov. 2012,6.4,"1,553","R2-D2 joins a team of Republic Droids known as D-Squad, led by Colonel Gascon. Their mission: to steal an encryption module from a Separatist dreadnought."
Season 5,A Sunny Day in the Void,S05E11,7 Dec. 2012,6.2,"1,588","D-Squad has obtained their mission objective, but crash-land on a desolate planet after a run-in with comets."
Season 5,Missing in Action,S05E12,4 Jan. 2013,7.3,"1,566",Colonel Gascon and the five droids of D-Squad have arrived at the remote town of Pons Ora on the planet Abafar and find a clone commando suffering from amnesia.
Season 5,Point of No Return,S05E13,11 Jan. 2013,7.2,"1,486","Finally on their way back to Republic space, D-Squad uncovers a Separatist plan involving a sabotaged Jedi cruiser."
Season 5,Eminence,S05E14,18 Jan. 2013,8.9,"2,013",Darth Maul and Savage Opress join forces with the Death Watch and together they recruit the Black Sun and Hutt crime lords to form the Shadow Collective.
Season 5,Shades of Reason,S05E15,25 Jan. 2013,9.2,"2,163","The Sith brothers and their criminal allies attack Mandalore and the Death Watch pretends to defeat them, causing the gullible people to choose Pre Vizsla's rule over Duchess Satine's."
Season 5,The Lawless,S05E16,1 Feb. 2013,9.7,"3,497","Darth Maul has taken over leadership of Death Watch. Though the Jedi cannot officially interfere, Obi-Wan Kenobi travels to Mandalore to rescue Satine."
Season 5,Sabotage,S05E17,8 Feb. 2013,8.2,"1,842",Anakin and Ahsoka are tasked to investigate a bombing at the Jedi Temple since they were two of the few Jedi off-planet at the time it occurred.
Season 5,The Jedi Who Knew Too Much,S05E18,15 Feb. 2013,9.1,"2,209","When the suspect of the Temple bombing is murdered in her cell, Ahsoka suddenly finds herself framed and on the run from the Republic military."
Season 5,To Catch a Jedi,S05E19,22 Feb. 2013,9.1,"2,139",Ahsoka is on the run and hiding in the criminal underworld of Coruscant. She strikes up an unlikely alliance with a former enemy turned bounty hunter.
Season 5,The Wrong Jedi,S05E20,1 Mar. 2013,9.7,"3,338",Ahsoka is put on trial by the Jedi Council and must face the Galactic Senate. Anakin searches for a way to prove his Padawan's innocence.
Season 6,The Unknown,S06E01,15 Feb. 2014,8.3,"1,796","Clone trooper Tup is suffering from a severe neurological disorder that causes the death of a Jedi master. Trying to find the motives for the assassination, Anakin escorts Tup back to Kamino for examination."
Season 6,Conspiracy,S06E02,15 Feb. 2014,8.3,"1,756","Clone trooper Tup is undergoing a medical examination in the sterile laboratories of Kamino to find the motives for his shocking attack on the Jedi Master. For the examination to succeed, trooper Fives must enter the depth of Tup's mind."
Season 6,Fugitive,S06E03,15 Feb. 2014,8.4,"1,769","Tup's body is transported back to Coruscant where it is to be examined by the Chancellor's personal physician, while Fives furtively investigates his death with the help of a droid."
Season 6,Orders,S06E04,15 Feb. 2014,8.9,"1,980","Fives believes he's uncovered a major conspiracy regarding the mysterious actions of clone trooper Tup, and finds himself on-the-run after he's falsely accused of attempting to murder the Chancellor."
Season 6,An Old Friend,S06E05,22 Feb. 2014,7.2,"1,488","While on Scipio to fund a mercy mission, Senator Amidala is called upon by an old friend to help uncover corruption in the Banking Clan."
Season 6,The Rise of Clovis,S06E06,22 Feb. 2014,7.3,"1,491",Clovis and Padmé head back to Coruscant to expose the financial corruption of the Banking Clan.
Season 6,Crisis at the Heart,S06E07,22 Feb. 2014,7.6,"1,478","After making a deal with Count Dooku to resuscitate the ailing Banking Clan, Clovis finds himself as a pawn in Dooku's designs."
Season 6,The Disappeared: Part 1,S06E08,1 Mar. 2014,6.6,"1,466","The peaceful world of Bardotta and its mystic ways are threatened by an ancient prophecy, and its top spiritual leaders have vanished."
Season 6,The Disappeared: Part 2,S06E09,1 Mar. 2014,6.8,"1,441",Jar Jar Binks' beloved Queen Julia of the planet Bardotta has been abducted by the bloodthirsty Frangawl Cult to fulfill a dark and ancient prophecy.
Season 6,The Lost One,S06E10,1 Mar. 2014,8.6,"1,725","A Jedi mission finds a lightsaber belonging to the long-dead Master Sifo-Dyas, prompting Yoda, Obi-Wan and Anakin to begin an investigation into his decade-old disappearance."
Season 6,Voices,S06E11,1 Mar. 2014,8.9,"1,906",Yoda is deeply unsettled when he hears a voice from beyond the grave - the voice of Qui-Gon Jinn.
Season 6,Destiny,S06E12,7 Mar. 2014,8.8,"1,823","Letting the Force guide him, Yoda voyages into the heart of the galaxy to an ancient world that is one of the wellsprings of the Force and the source of midi-chlorians."
Season 6,Sacrifice,S06E13,7 Mar. 2014,9.2,"2,131","After many grueling trials, Yoda next travels to the ancient Sith home world of Moraband, where he must face an ancient evil determined to rule the galaxy."
Season 7,The Bad Batch,S07E01,21 Feb. 2020,8.3,"3,305","Rex, Cody, and Clone Force 99 (an unorthodox, elite squad also known as the Bad Batch), look to recover the Republic's strategy algorithm from Admiral Trench, but a haunting truth awaits."
Season 7,A Distant Echo,S07E02,28 Feb. 2020,8.2,"2,912","Believing that MIA soldier Echo may still be alive, Rex's mission becomes doubly important. Alongside Bad Batch and Anakin Skywalker, the clone captain launches a dangerous covert rescue."
Season 7,On the Wings of Keeradaks,S07E03,6 Mar. 2020,7.8,"2,784","With Echo recovered, Rex, Bad Batch and Anakin Skywalker look to fight their way out of a Separatist base."
Season 7,Unfinished Business,S07E04,13 Mar. 2020,8.5,"2,949","The Republic plans a daring final strike against Admiral Trench, once again bringing together Rex, Echo, Anakin Skywalker, and the elite Bad Batch squad."
Season 7,Gone with a Trace,S07E05,20 Mar. 2020,6.4,"3,025","After leaving the Jedi Order, Ahsoka Tano finds herself in the underworld of Coruscant where she meets aspiring pilot Trace Martez. Enlisted by Trace's sister Rafa to help build dangerous droids, Ahsoka opts to keep her Jedi past a secret."
Season 7,Deal No Deal,S07E06,27 Mar. 2020,6.1,"2,936","Ahsoka, Trace and Rafa are hired to deliver some spice, but things soon get complicated."
Season 7,Dangerous Debt,S07E07,3 Apr. 2020,5.9,"2,955","Taken prisoner by the Pykes, Ahsoka and the Martez sisters attempt to escape."
Season 7,Together Again,S07E08,10 Apr. 2020,7.1,"2,769",Ahsoka bargains for the sisters' freedom and makes a startling discovery.
Season 7,Old Friends Not Forgotten,S07E09,17 Apr. 2020,9.7,"8,030","Ahsoka contacts Anakin and Obi-Wan, who must decide whether to help her pursue Maul on Mandalore or defend Coruscant."
Season 7,The Phantom Apprentice,S07E10,24 Apr. 2020,9.9,"9,693",Ahsoka leads Republic clones to confront Maul's forces on Mandalore. Maul senses the impending chaos and makes a calculated play to ensure his own survival.
Season 7,Shattered,S07E11,1 May 2020,9.8,"9,121","After capturing Maul on Mandalore, Ahsoka's journey to the Jedi Council is disrupted when Order 66 is declared, turning her world upside down."
Season 7,Victory and Death,S07E12,4 May 2020,9.9,"9,757",Ahsoka and Rex must use their wit and skills to survive the turbulent end of the Clone Wars.
