,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
25,Beget,to procreate as the father,to produce especially as an effect or outgrowth,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"breed, bring, bring about, bring on, catalyze, cause, create, do, draw on, effect, effectuate, engender, generate, induce, invoke, make, occasion, produce, prompt, result (in), spawn, translate (into), work, yield","breed, bring, bring about, bring on, catalyze, cause, create, do, draw on, effect, effectuate, engender, generate, induce, invoke, make, occasion, produce, prompt, result (in), spawn, translate (into), work, yield",Oops! So Empty!,third,Oops! So Empty!
26,Belabor,to attack verbally,to explain or insist on excessively,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dwell (on or upon), harp (on)","disregard, forget, ignore, overlook, overpass, pass over, slight, slur (over)",Oops! So Empty!,first,Oops! So Empty!
27,Berserk,an ancient Scandinavian warrior frenzied in battle and held to be invulnerable,one whose actions are recklessly defiant,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
28,Bestir,to rouse to action,to stir up,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
29,Bevy,a large group or collection,a group of animals and especially quail,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
30,Bilious,of or relating to a yellow or greenish fluid that is secreted by the liver and that aids especially in the emulsification and absorption of fats,marked by or affected with disordered liver function and especially excessive secretion of bile,of or indicative of a peevish ill-natured disposition,of or relating to bile,sickeningly unpleasant,"acid, bearish, bloody-minded 
[chiefly British], cantankerous, disagreeable, dyspeptic, ill-humored, ill-natured, ill-tempered, ornery, splenetic, surly","amiable, good-humored, good-natured, good-tempered",Oops! So Empty!,third,Oops! So Empty!
31,Blatant,noisy especially in a vulgar or offensive manner,"completely obvious, conspicuous, or obtrusive especially in a crass or offensive manner",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caterwauling, clamant, clamorous, obstreperous, squawking, vociferant, vociferating, vociferous, yawping 
 (or yauping), yowling","caterwauling, clamant, clamorous, obstreperous, squawking, vociferant, vociferating, vociferous, yawping 
 (or yauping), yowling","vociferous, clamorous, blatant, strident, boisterous, obstreperous mean so loud or insistent as to compel attention

vociferous implies a vehement shouting or calling out
vociferous cries of protest and outrage

clamorous may imply insistency as well as vociferousness in demanding or protesting
clamorous demands for prison reforms

blatant implies an offensive bellowing or insensitive loudness
blatant rock music

a blatant clamor for impeachment
strident suggests harsh and discordant noise

heard the strident cry of the crow
boisterous suggests a noisiness and turbulence due to high spirits

a boisterous crowd of party goers
obstreperous suggests unruly and aggressive noisiness and resistance to restraint

the obstreperous demonstrators were arrested",first,"vociferous, clamorous, blatant, strident, boisterous, obstreperous mean so loud or insistent as to compel attention<br><br>vociferous implies a vehement shouting or calling out<br>vociferous cries of protest and outrage<br><br>clamorous may imply insistency as well as vociferousness in demanding or protesting<br>clamorous demands for prison reforms<br><br>blatant implies an offensive bellowing or insensitive loudness<br>blatant rock music<br><br>a blatant clamor for impeachment<br>strident suggests harsh and discordant noise<br><br>heard the strident cry of the crow<br>boisterous suggests a noisiness and turbulence due to high spirits<br><br>a boisterous crowd of party goers<br>obstreperous suggests unruly and aggressive noisiness and resistance to restraint<br><br>the obstreperous demonstrators were arrested"
32,Blight,something that frustrates plans or hopes,something that impairs or destroys,a deteriorated condition,"to affect (a plant) with a disease or injury marked by the formation of lesions, withering, and death of parts (such as leaves and tubers)",to impair the quality or effect of,"blemish, blotch, defect, deformity, disfigurement, excrescence, excrescency, fault, flaw, imperfection, mar, mark, pockmark, scar","blemish, blotch, defect, deformity, disfigurement, excrescence, excrescency, fault, flaw, imperfection, mar, mark, pockmark, scar",Oops! So Empty!,third,Oops! So Empty!
33,Bristle,to furnish with short stiff coarse hairs or filaments,to make aggressive or angry,to rise and stand stiffly erect,to take on an aggressively defensive attitude (as in response to a slight or criticism),to be full of or covered with especially something suggestive of bristles,"fiber, filament, hair, thread","abound, brim, bulge, burst, bustle, buzz, crawl, hum, overflow, pullulate, swarm, teem",Oops! So Empty!,third,Oops! So Empty!
34,Brood,the young of an animal or a family of young,a group having a common nature or origin,the children of a family,to sit on or incubate (eggs),to cover (young) with the wings,"hatch, incubate, set, sit","hatch, incubate, set, sit",Oops! So Empty!,first,Oops! So Empty!
35,Brusque,markedly short and abrupt,blunt in manner or speech often to the point of ungracious harshness,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abrupt, bluff, blunt, crusty, curt, downright, short, short-spoken, snippy, unceremonious","circuitous, mealymouthed","bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner

bluff connotes good-natured outspokenness and unconventionality
a bluff manner

blunt suggests directness of expression in disregard of others' feelings
a blunt appraisal

brusque applies to a sharpness or ungraciousness
a brusque response

curt implies disconcerting shortness or rude conciseness
a curt command

crusty suggests a harsh or surly manner sometimes concealing an inner kindliness
a crusty exterior

gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness
puts on a gruff pose",first,"bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner<br><br>bluff connotes good-natured outspokenness and unconventionality<br>a bluff manner<br><br>blunt suggests directness of expression in disregard of others' feelings<br>a blunt appraisal<br><br>brusque applies to a sharpness or ungraciousness<br>a brusque response<br><br>curt implies disconcerting shortness or rude conciseness<br>a curt command<br><br>crusty suggests a harsh or surly manner sometimes concealing an inner kindliness<br>a crusty exterior<br><br>gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness<br>puts on a gruff pose"
36,Bun,a knot of hair shaped like a bun,a sweet or plain small bread,buttocks,Oops! So Empty!,Oops! So Empty!,"backside, behind, booty 
 (also bootie) 
[slang], bottom, breech, bum, butt, buttocks, caboose, can, cheeks, derriere 
 (or derrière), duff, fanny, fundament, hams, haunches, heinie 
[slang], hunkers, keister 
 (also keester) 
[slang], nates, posterior, rear, rear end, rump, seat, tail, tail end, tush 
[slang]","backside, behind, booty 
 (also bootie) 
[slang], bottom, breech, bum, butt, buttocks, caboose, can, cheeks, derriere 
 (or derrière), duff, fanny, fundament, hams, haunches, heinie 
[slang], hunkers, keister 
 (also keester) 
[slang], nates, posterior, rear, rear end, rump, seat, tail, tail end, tush 
[slang]",Oops! So Empty!,third,Oops! So Empty!
37,Cacophony,harsh or jarring sound,an incongruous or chaotic mixture,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"babel, blare, bluster, bowwow, brawl, bruit 
[archaic], chatter, clamor, clangor, decibel(s), din, discordance, katzenjammer, noise, racket, rattle, roar","quiet, silence, silentness, still, stillness",Oops! So Empty!,third,Oops! So Empty!
38,Cad,a bus conductor,a man who acts with deliberate disregard for another's feelings or rights,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bastard, beast, bleeder 
[British], blighter 
[chiefly British], boor, bounder, bugger, buzzard, chuff, churl, clown, creep, cretin, crud 
[slang], crumb 
[slang], cur, dirtbag 
[slang], dog, fink, heel, hound, jerk, joker, louse, lout, pill, rat, rat fink, reptile, rotter, schmuck 
[slang], scum, scumbag 
[slang], scuzzball 
[slang], skunk, sleaze, sleazebag 
[slang], sleazeball 
[slang], slime, slimeball 
[slang], slob, snake, so-and-so, sod 
[chiefly British], stinkard, stinker, swine, toad, varmint, vermin","bastard, beast, bleeder 
[British], blighter 
[chiefly British], boor, bounder, bugger, buzzard, chuff, churl, clown, creep, cretin, crud 
[slang], crumb 
[slang], cur, dirtbag 
[slang], dog, fink, heel, hound, jerk, joker, louse, lout, pill, rat, rat fink, reptile, rotter, schmuck 
[slang], scum, scumbag 
[slang], scuzzball 
[slang], skunk, sleaze, sleazebag 
[slang], sleazeball 
[slang], slime, slimeball 
[slang], slob, snake, so-and-so, sod 
[chiefly British], stinkard, stinker, swine, toad, varmint, vermin",Oops! So Empty!,first,Oops! So Empty!
39,Cadence,a rhythmic sequence or flow of sounds in language,a falling inflection of the voice,the modulated and rhythmic recurrence of a sound especially in nature,Oops! So Empty!,Oops! So Empty!,"beat, measure, meter, rhythm","beat, measure, meter, rhythm",Oops! So Empty!,third,Oops! So Empty!
40,Cajoled,to persuade with flattery or gentle urging especially in the face of reluctance,to deceive with soothing words or false promises,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"blandish, blarney, coax, palaver, soft-soap, sweet-talk, wheedle","blandish, blarney, coax, palaver, soft-soap, sweet-talk, wheedle","cajole, coax, soft-soap, blandish, wheedle mean to influence or persuade by pleasing words or actions

cajole suggests the deliberate use of flattery to persuade in the face of reluctance or reasonable objections
cajoled him into cheating on the final exam

coax implies gentle and persistent words or actions employed to produce a desired effect
coaxed the cat out of the tree

soft-soap refers to using smooth and somewhat insincere talk usually for personal gain
politicians soft-soaping eligible voters

blandish implies a more open desire to win a person over by effusive praise and affectionate actions
legislators blandished with promises of support

wheedle suggests more strongly than cajole the use of seductive appeal or artful words in persuading
hucksters wheedling her life's savings out of her",third,"cajole, coax, soft-soap, blandish, wheedle mean to influence or persuade by pleasing words or actions<br><br>cajole suggests the deliberate use of flattery to persuade in the face of reluctance or reasonable objections<br>cajoled him into cheating on the final exam<br><br>coax implies gentle and persistent words or actions employed to produce a desired effect<br>coaxed the cat out of the tree<br><br>soft-soap refers to using smooth and somewhat insincere talk usually for personal gain<br>politicians soft-soaping eligible voters<br><br>blandish implies a more open desire to win a person over by effusive praise and affectionate actions<br>legislators blandished with promises of support<br><br>wheedle suggests more strongly than cajole the use of seductive appeal or artful words in persuading<br>hucksters wheedling her life's savings out of her"
41,Callous,being hardened and thickened,feeling no emotion,having calluses,Oops! So Empty!,Oops! So Empty!,"affectless, case-hardened, cold-blooded, compassionless, desensitized, hard, hard-boiled, hard-hearted, heartless, indurate, inhuman, inhumane, insensate, insensitive, ironhearted, merciless, obdurate, pachydermatous, pitiless, remorseless, ruthless, slash-and-burn, soulless, stony 
 (also stoney), stonyhearted, take-no-prisoners, thick-skinned, uncharitable, unfeeling, unmerciful, unsparing, unsympathetic","charitable, compassionate, humane, kindhearted, kindly, merciful, sensitive, softhearted, sympathetic, tender, tenderhearted, warm, warmhearted",Oops! So Empty!,first,Oops! So Empty!
42,Calumnies,a misrepresentation intended to harm another's reputation,the act of uttering false charges or misrepresentations maliciously calculated to harm another's reputation,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aspersing, blackening, calumniation, character assassination, defamation, defaming, libel, libeling 
 (or libelling), maligning, slander, smearing, traducing, vilification, vilifying","aspersing, blackening, calumniation, character assassination, defamation, defaming, libel, libeling 
 (or libelling), maligning, slander, smearing, traducing, vilification, vilifying",Oops! So Empty!,first,Oops! So Empty!
43,Camaraderie,a spirit of friendly good-fellowship,a feeling of good friendship among the people in a group,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"brotherhood, community, companionship, company, comradery, comradeship, fellowship, society","brotherhood, community, companionship, company, comradery, comradeship, fellowship, society",Oops! So Empty!,third,Oops! So Empty!
44,Canine,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dog, doggy 
 (or doggie), hound, pooch, tyke 
 (also tike)","dog, doggy 
 (or doggie), hound, pooch, tyke 
 (also tike)",Oops! So Empty!,third,Oops! So Empty!
45,Capricious,moved or controlled by a sudden desire,likely to change suddenly,governed or characterized by impulse or whim,not supported by the weight of evidence or established rules of law,Oops! So Empty!,"changeable, changeful, fickle, flickery, fluctuating, fluid, inconsistent, inconstant, mercurial, mutable, skittish, temperamental, uncertain, unpredictable, unsettled, unstable, unsteady, variable, volatile","certain, changeless, constant, immutable, invariable, predictable, settled, stable, stationary, steady, unchangeable, unchanging, unvarying","inconstant, fickle, capricious, mercurial, unstable mean lacking firmness or steadiness (as in purpose or devotion)

inconstant implies an incapacity for steadiness and an inherent tendency to change
an inconstant friend

fickle suggests unreliability because of perverse changeability and incapacity for steadfastness
performers discover how fickle fans can be

capricious suggests motivation by sudden whim or fancy and stresses unpredictability
an utterly capricious critic

mercurial implies a rapid changeability in mood
made anxious by her boss's mercurial temperament

unstable implies an incapacity for remaining in a fixed position or steady course and applies especially to a lack of emotional balance
too unstable to hold a job",third,"inconstant, fickle, capricious, mercurial, unstable mean lacking firmness or steadiness (as in purpose or devotion)<br><br>inconstant implies an incapacity for steadiness and an inherent tendency to change<br>an inconstant friend<br><br>fickle suggests unreliability because of perverse changeability and incapacity for steadfastness<br>performers discover how fickle fans can be<br><br>capricious suggests motivation by sudden whim or fancy and stresses unpredictability<br>an utterly capricious critic<br><br>mercurial implies a rapid changeability in mood<br>made anxious by her boss's mercurial temperament<br><br>unstable implies an incapacity for remaining in a fixed position or steady course and applies especially to a lack of emotional balance<br>too unstable to hold a job"
46,Carnage,the flesh of slain animals or humans,great and usually bloody slaughter or injury (as in battle),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bloodbath, butchery, death, holocaust, massacre, slaughter","bloodbath, butchery, death, holocaust, massacre, slaughter",Oops! So Empty!,first,Oops! So Empty!
47,Carnal,relating to or given to crude bodily pleasures and appetites,"bodily, corporeal",temporal,Oops! So Empty!,Oops! So Empty!,"earthborn, earthbound, earthly, fleshly, material, mundane, sublunary, temporal, terrene, terrestrial, worldly","heavenly, nontemporal, unearthly, unworldly","carnal, fleshly, sensual, animal mean having a relation to the body

carnal may mean only this but more often connotes derogatorily an action or manifestation of a person's lower nature
gave in to carnal desires

fleshly is less derogatory than carnal
a saint who had experienced fleshly temptations

sensual may apply to any gratification of a bodily desire or pleasure but commonly implies sexual appetite with absence of the spiritual or intellectual
fleshpots providing sensual delights

animal stresses the physical as distinguished from the rational nature of a person
led a mindless animal existence",third,"carnal, fleshly, sensual, animal mean having a relation to the body<br><br>carnal may mean only this but more often connotes derogatorily an action or manifestation of a person's lower nature<br>gave in to carnal desires<br><br>fleshly is less derogatory than carnal<br>a saint who had experienced fleshly temptations<br><br>sensual may apply to any gratification of a bodily desire or pleasure but commonly implies sexual appetite with absence of the spiritual or intellectual<br>fleshpots providing sensual delights<br><br>animal stresses the physical as distinguished from the rational nature of a person<br>led a mindless animal existence"
